"likesCount","timestamp","commentsCount","videoViewCount","videoDuration"
"1339834","2016-10-08T17:27:19.000Z","7202","10418144","19.919"
"966819","2016-10-26T14:13:33.000Z","5704","8119167","16.182"
"955655","2016-10-04T13:42:48.000Z","4783","8502602","12.245"
"1310376","2016-10-31T23:47:56.000Z","20291","9514950","21.254"
"1656886","2016-11-30T15:28:06.000Z","13586","12402389","29.929"
"1229529","2016-09-14T14:59:52.000Z","9656","9053071","13.88"
"945420","2016-11-24T13:09:18.000Z","5705","10514399","19.886"
"841110","2017-04-25T12:36:05.000Z","1647","7520650","25.392"
"833537","2016-09-24T14:04:54.000Z","7027","12197828","8.708"
"970030","2016-09-08T14:27:37.000Z","10093","9651299","14.514"
"1103685","2016-10-19T15:48:46.000Z","4363","8887102","17.083"
"1134454","2016-11-05T15:02:54.000Z","10960","10320128","20.387"
"1049641","2016-07-12T14:35:18.000Z","10766","8171041","23.189"
"1105288","2016-07-20T15:47:37.000Z","18104","9657888","17.984"
"1051412","2016-07-26T13:17:40.000Z","6606","9173415","12.012"
"890456","2016-08-17T15:17:14.000Z","4095","9774783","16.75"
"1100695","2016-08-13T16:58:37.000Z","114119","7374825","54.254"
"1187479","2016-08-01T14:36:31.000Z","9122","11127332","14.681"
"897621","2016-07-16T16:17:00.000Z","3506","8045575","12.278"
"1117376","2016-09-02T15:42:55.000Z","6848","9980561","23.857"
"1199487","2016-08-26T14:44:22.000Z","20532","11769784","11.077"
"2150918","2016-08-10T17:43:01.000Z","8402","10361128","22.756"
"914458","2016-08-05T14:05:49.000Z","3700","8246734","17.35"
"936012","2016-06-15T12:33:44.000Z","4325","7686895","16.316"
"1034635","2016-06-11T14:00:07.000Z","6452","7782447","23.423"
"930285","2016-06-24T19:00:04.000Z","4239","7818183","11.244"
"1185997","2016-07-08T17:05:52.000Z","8399","9986825","23.523"
"1347749","2016-08-22T14:14:10.000Z","16628","12246789","23.323"
"902821","2016-06-03T13:31:38.000Z","6088","6984587","13.5"
"1148494","2016-04-25T13:36:33.000Z","12721","8819883","10.944"
"1182569","2016-05-12T13:27:11.000Z","13058","8416891","23.125"
"917875","2016-05-25T12:03:26.000Z","4496","8507757","7.916"
"980365","2016-04-15T15:36:24.000Z","5364","7882376","11.578"
"993093","2016-06-20T14:11:34.000Z","7971","8589378","17.35"
"1064314","2016-06-28T12:08:42.000Z","7851","8788856","12.556"
"1042235","2016-07-04T12:08:31.000Z","4793","9719707","19.052"
"1061359","2016-03-26T12:49:20.000Z","15504","8598841","15.015"
"975760","2016-04-05T14:18:31.000Z","6052","9198681","8.875"
